Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
W,de Bayern Munich,11,11,0,0,43,8,35,33,32.7,10.7,21.9,1.99,"50,000",Robert Lewandowski - 15,Manuel Neuer,
F,fr Paris S-G,11,8,1,2,25,6,19,25,23.9,10.7,13.2,1.2,"28,058","Mauro Icardi, Kylian Mbappé - 5",Keylor Navas,
SF,de RB Leipzig,10,6,2,2,16,12,4,20,16.2,11.3,4.9,0.49,"26,956","Timo Werner, Emil Forsberg... - 4",Péter Gulácsi,
SF,fr Lyon,10,4,2,4,14,14,0,14,10.5,16.5,-5.9,-0.59,"41,780",Memphis Depay - 6,Anthony Lopes,
,,,,,,,,,,,,,,,,,
QF,eng Manchester City,9,6,2,1,21,9,12,20,22.5,6.8,15.7,1.74,"30,075","Raheem Sterling, Gabriel Jesus - 6",Ederson,
QF,es Barcelona,9,5,3,1,15,14,1,18,13.3,14.6,-1.3,-0.14,"48,647",Luis Suárez - 5,Marc-André ter Stegen,
QF,es Atlético Madrid,9,5,1,3,13,9,4,16,13,7.2,5.8,0.63,"62,232","Álvaro Morata, João Félix - 3",Jan Oblak,
QF,it Atalanta,9,4,1,4,17,18,-1,13,16.5,16.4,0.1,0.01,"26,216",Josip Iličić - 5,Pierluigi Gollini,
,,,,,,,,,,,,,,,,,
R16,it Juventus,8,6,1,1,14,6,8,19,11.6,8.7,2.9,0.36,"28,390",Cristiano Ronaldo - 4,Wojciech Szczęsny,
R16,it Napoli,8,3,4,1,13,8,5,13,13,9.6,3.4,0.43,"34,598",Dries Mertens - 6,Alex Meret,
R16,eng Liverpool,8,4,1,3,15,12,3,13,14.5,7.9,6.5,0.79,"52,312",Mohamed Salah - 4,Alisson,
R16,de Dortmund,8,4,1,3,10,11,-1,13,11.4,11.3,0.1,0.02,"65,844",Achraf Hakimi - 4,Roman Bürki,
R16,es Real Madrid,8,3,2,3,16,12,4,11,15.6,12,3.7,0.46,"70,438",Karim Benzema - 5,Thibaut Courtois,
R16,es Valencia,8,3,2,3,13,15,-2,11,12.4,13.8,-1.4,-0.18,"31,599","Rodrigo, Ferrán Torres... - 2",Jasper Cillessen,
R16,eng Chelsea,8,3,2,3,12,16,-4,11,15.6,11.6,4,0.49,"38,845",Tammy Abraham - 3,Kepa Arrizabalaga,
R16,eng Tottenham,8,3,1,4,18,18,0,10,13.4,12,1.4,0.18,"57,247",Harry Kane - 6,"Hugo Lloris, Paulo Gazzaniga",
,,,,,,,,,,,,,,,,,
GR,nl Ajax,6,3,1,2,12,6,6,10,6.7,11.2,-4.5,-0.74,"51,951",Quincy Promes - 4,André Onana,
GR,at RB Salzburg,6,2,1,3,16,13,3,7,12.3,11.4,0.9,0.15,"29,520",Erling Haaland - 8,Cican Stankovic,
GR,it Inter,6,2,1,3,10,9,1,7,8.5,8.2,0.2,0.04,"62,540",Lautaro Martínez - 5,Samir Handanović,
GR,pt Benfica,6,2,1,3,10,11,-1,7,7.5,8.8,-1.3,-0.21,"46,576",Pizzi - 3,Odisseas Vlachodimos,
GR,ru Zenit,6,2,1,3,7,9,-2,7,6,8.1,-2.1,-0.35,"51,106","Artem Dzyuba, Sardar Azmoun - 2",Mikhail Kerzhakov,
GR,de Leverkusen,6,2,0,4,5,9,-4,6,4.9,7,-2.1,-0.35,"28,098","Sven Bender, Kevin Volland - 1",Lukáš Hrádecký,
GR,ua Shakhtar,6,1,3,2,8,13,-5,6,6.7,12.5,-5.8,-0.97,"28,246","Manor Solomon, Júnior Moraes - 2",Andriy Pyatov,
GR,hr Dinamo Zagreb,6,1,2,3,10,13,-3,5,6,13.9,-7.9,-1.32,"28,855",Mislav Oršić - 4,Dominik Livaković,
GR,gr Olympiacos,6,1,1,4,8,14,-6,4,7.7,10.8,-3.1,-0.52,"31,523",Youssef El-Arabi - 3,José Sá,
GR,ru Loko Moscow,6,1,0,5,4,11,-7,3,5.6,12.6,-7,-1.17,"26,557",Aleksei Miranchuk - 2,Guilherme Marinato,
GR,be Club Brugge,6,0,3,3,4,12,-8,3,7.5,9,-1.4,-0.24,"26,957",Emmanuel Dennis - 2,Simon Mignolet,
GR,rs Red Star,6,1,0,5,3,20,-17,3,4,17.4,-13.3,-2.22,"43,263","Richmond Boakye, Nemanja Milunović... - 1",Milan Borjan,
GR,cz Slavia Prague,6,0,2,4,4,10,-6,2,7.7,11.4,-3.7,-0.62,"19,303",Tomáš Souček - 2,Ondřej Kolář,
GR,tr Galatasaray,6,0,2,4,1,14,-13,2,3,15.9,-12.9,-2.15,"43,306",Adem Büyük - 1,Fernando Muslera,
GR,fr Lille,6,0,1,5,4,14,-10,1,7.1,9.4,-2.3,-0.38,"48,208",Victor Osimhen - 2,Mike Maignan,
GR,be Genk,6,0,1,5,5,20,-15,1,6.4,15.1,-8.7,-1.46,"18,957",Mbwana Samatta - 3,Gaëtan Coucke,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
