Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
W,eng Chelsea,13,9,3,1,23,4,19,30,22.7,8,14.7,1.13,333,Olivier Giroud - 6,Edouard Mendy,
,,,,,,,,,,,,,,,,,
F,eng Manchester City,13,11,1,1,25,5,20,34,21.7,7.9,13.9,1.07,"2,016","Riyad Mahrez, Ferrán Torres - 4",Ederson,
,,,,,,,,,,,,,,,,,
SF,es Real Madrid,12,6,3,3,19,14,5,21,17.6,13.9,3.7,0.31,,Karim Benzema - 6,Thibaut Courtois,
SF,fr Paris S-G,12,6,1,5,22,15,7,19,21,18.5,2.5,0.21,,Kylian Mbappé - 8,Keylor Navas,
,,,,,,,,,,,,,,,,,
QF,de Bayern Munich,10,8,1,1,27,10,17,25,19.7,13.5,6.2,0.62,,Robert Lewandowski - 5,Manuel Neuer,
QF,eng Liverpool,10,6,2,2,15,6,9,20,16.2,13.3,2.9,0.29,,Mohamed Salah - 6,Alisson,
QF,pt Porto,10,6,1,3,15,9,6,19,11,13.4,-2.5,-0.24,490,Sérgio Oliveira - 5,Agustín Marchesín,
QF,de Dortmund,10,5,2,3,19,13,6,17,15.5,12.1,3.4,0.34,,Erling Haaland - 10,Marwin Hitz,
,,,,,,,,,,,,,,,,,
R16,it Juventus,8,6,0,2,18,8,10,18,14.8,8.6,6.2,0.75,,Álvaro Morata - 6,Wojciech Szczęsny,
R16,es Barcelona,8,5,1,2,18,10,8,16,19.6,11.4,8.2,1.03,,Lionel Messi - 5,Marc-André ter Stegen,
R16,es Sevilla,8,4,2,2,13,13,0,14,11.1,11.3,-0.3,-0.04,,Youssef En-Nesyri - 6,Yassine Bounou,
R16,de RB Leipzig,8,4,0,4,11,16,-5,12,10.1,11.9,-1.7,-0.22,250,Angeliño - 3,Péter Gulácsi,
R16,it Atalanta,8,3,2,3,11,12,-1,11,11.6,11.6,0.1,0.01,,"Duván Zapata, Luis Muriel - 3",Marco Sportiello,
R16,it Lazio,8,2,4,2,13,13,0,10,12.3,12.2,0,0,250,Ciro Immobile - 5,Pepe Reina,
R16,es Atlético Madrid,8,2,3,3,7,11,-4,9,8.3,9.2,-0.9,-0.12,,João Félix - 3,Jan Oblak,
R16,de M'Gladbach,8,2,2,4,16,13,3,8,9.9,12,-2,-0.25,,Alassane Pléa - 5,Yann Sommer,
,,,,,,,,,,,,,,,,,
GR,eng Manchester Utd,6,3,0,3,15,10,5,9,11.4,7.4,4,0.67,374,Marcus Rashford - 6,David de Gea,
GR,be Club Brugge,6,2,2,2,8,10,-2,8,7.8,9.3,-1.4,-0.24,,Hans Vanaken - 3,Simon Mignolet,
GR,ua Shakhtar,6,2,2,2,5,12,-7,8,4.2,10.2,-5.9,-0.99,"3,393",Manor Solomon - 2,Anatolii Trubin,
GR,nl Ajax,6,2,1,3,7,7,0,7,8.6,7.4,1.2,0.21,,Dušan Tadić - 2,André Onana,
GR,it Inter,6,1,3,2,7,9,-2,6,8.5,6.3,2.2,0.36,333,Romelu Lukaku - 4,Samir Handanović,
GR,ru Krasnodar,6,1,2,3,6,11,-5,5,7.3,11.6,-4.3,-0.71,"9,948",Marcus Berg - 2,Matvei Safonov,
GR,at RB Salzburg,6,1,1,4,10,17,-7,4,11.3,8.7,2.6,0.44,"1,000",Mergim Berisha - 4,Cican Stankovic,
GR,ua Dynamo Kyiv,6,1,1,4,4,13,-9,4,5.7,11.4,-5.8,-0.96,"4,950",Viktor Tsyhankov - 2,Heorhiy Bushchan,
GR,ru Loko Moscow,6,0,3,3,5,10,-5,3,4.8,10.2,-5.4,-0.9,"7,701",Anton Miranchuk - 3,Guilherme Marinato,
GR,gr Olympiacos,6,1,0,5,2,10,-8,3,3.9,9.1,-5.2,-0.86,,"Mohamed Camara, Koka - 1",José Sá,
GR,fr Marseille,6,1,0,5,2,13,-11,3,5.1,10.5,-5.4,-0.9,,Dimitri Payet - 2,Steve Mandanda,
GR,tr Başakşehir,6,1,0,5,7,18,-11,3,4.9,14,-9.1,-1.51,233,İrfan Kahveci - 3,Mert Günok,
GR,dk Midtjylland,6,0,2,4,4,13,-9,2,6.4,12.1,-5.7,-0.95,88,Alexander Scholz - 2,Jesper Hansen,
GR,fr Rennes,6,0,1,5,3,11,-8,1,7.4,10.7,-3.4,-0.56,"1,658",Sehrou Guirassy - 2,Alfred Gomis,
GR,ru Zenit,6,0,1,5,4,13,-9,1,4.4,10.3,-5.9,-0.98,"14,990","Artem Dzyuba, Aleksandr Erokhin... - 1",Mikhail Kerzhakov,
GR,hu Ferencváros,6,0,1,5,5,17,-12,1,5.5,12.5,-6.9,-1.16,"8,234",Franck Boli - 2,Dénes Dibusz,
